image,category,original,generated
original/inpainting/14_original.png,0,1,0
generated/inpainting/14_inpainting.png,0,0,1
original/inpainting/22_original.png,0,1,0
generated/inpainting/22_inpainting.png,0,0,1
original/inpainting/29_original.png,0,1,0
generated/inpainting/29_inpainting.png,0,0,1
original/inpainting/31_original.png,0,1,0
generated/inpainting/31_inpainting.png,0,0,1
original/inpainting/34_original.png,0,1,0
generated/inpainting/34_inpainting.png,0,0,1
original/inpainting/44_original.png,0,1,0
generated/inpainting/44_inpainting.png,0,0,1
original/inpainting/51_original.png,0,1,0
generated/inpainting/51_inpainting.png,0,0,1
original/inpainting/52_original.png,0,1,0
generated/inpainting/52_inpainting.png,0,0,1
original/inpainting/53_original.png,0,1,0
generated/inpainting/53_inpainting.png,0,0,1
original/inpainting/55_original.png,0,1,0
generated/inpainting/55_inpainting.png,0,0,1
original/inpainting/85_original.png,0,1,0
generated/inpainting/85_inpainting.png,0,0,1
original/inpainting/91_original.png,0,1,0
generated/inpainting/91_inpainting.png,0,0,1
original/inpainting/95_original.png,0,1,0
generated/inpainting/95_inpainting.png,0,0,1
original/inpainting/98_original.png,0,1,0
generated/inpainting/98_inpainting.png,0,0,1
original/inpainting/100_original.png,0,1,0
generated/inpainting/100_inpainting.png,0,0,1
original/inpainting/105_original.png,0,1,0
generated/inpainting/105_inpainting.png,0,0,1
original/inpainting/110_original.png,0,1,0
generated/inpainting/110_inpainting.png,0,0,1
original/inpainting/117_original.png,0,1,0
generated/inpainting/117_inpainting.png,0,0,1
original/inpainting/118_original.png,0,1,0
generated/inpainting/118_inpainting.png,0,0,1
original/inpainting/119_original.png,0,1,0
generated/inpainting/119_inpainting.png,0,0,1
original/inpainting/126_original.png,0,1,0
generated/inpainting/126_inpainting.png,0,0,1
original/inpainting/132_original.png,0,1,0
generated/inpainting/132_inpainting.png,0,0,1
original/inpainting/133_original.png,0,1,0
generated/inpainting/133_inpainting.png,0,0,1
original/inpainting/136_original.png,0,1,0
generated/inpainting/136_inpainting.png,0,0,1
original/inpainting/141_original.png,0,1,0
generated/inpainting/141_inpainting.png,0,0,1
original/inpainting/143_original.png,0,1,0
generated/inpainting/143_inpainting.png,0,0,1
original/inpainting/145_original.png,0,1,0
generated/inpainting/145_inpainting.png,0,0,1
original/inpainting/149_original.png,0,1,0
generated/inpainting/149_inpainting.png,0,0,1
original/inpainting/151_original.png,0,1,0
generated/inpainting/151_inpainting.png,0,0,1
original/inpainting/153_original.png,0,1,0
generated/inpainting/153_inpainting.png,0,0,1
original/inpainting/158_original.png,0,1,0
generated/inpainting/158_inpainting.png,0,0,1
original/inpainting/164_original.png,0,1,0
generated/inpainting/164_inpainting.png,0,0,1
original/inpainting/167_original.png,0,1,0
generated/inpainting/167_inpainting.png,0,0,1
original/inpainting/184_original.png,0,1,0
generated/inpainting/184_inpainting.png,0,0,1
original/inpainting/192_original.png,0,1,0
generated/inpainting/192_inpainting.png,0,0,1
original/inpainting/199_original.png,0,1,0
generated/inpainting/199_inpainting.png,0,0,1
original/inpainting/200_original.png,0,1,0
generated/inpainting/200_inpainting.png,0,0,1
original/inpainting/201_original.png,0,1,0
generated/inpainting/201_inpainting.png,0,0,1
original/inpainting/210_original.png,0,1,0
generated/inpainting/210_inpainting.png,0,0,1
original/inpainting/211_original.png,0,1,0
generated/inpainting/211_inpainting.png,0,0,1
original/inpainting/212_original.png,0,1,0
generated/inpainting/212_inpainting.png,0,0,1
original/inpainting/225_original.png,0,1,0
generated/inpainting/225_inpainting.png,0,0,1
original/inpainting/239_original.png,0,1,0
generated/inpainting/239_inpainting.png,0,0,1
original/inpainting/241_original.png,0,1,0
generated/inpainting/241_inpainting.png,0,0,1
original/inpainting/247_original.png,0,1,0
generated/inpainting/247_inpainting.png,0,0,1
original/inpainting/250_original.png,0,1,0
generated/inpainting/250_inpainting.png,0,0,1
original/inpainting/273_original.png,0,1,0
generated/inpainting/273_inpainting.png,0,0,1
original/inpainting/276_original.png,0,1,0
generated/inpainting/276_inpainting.png,0,0,1
original/inpainting/277_original.png,0,1,0
generated/inpainting/277_inpainting.png,0,0,1
original/inpainting/278_original.png,0,1,0
generated/inpainting/278_inpainting.png,0,0,1
original/inpainting/288_original.png,0,1,0
generated/inpainting/288_inpainting.png,0,0,1
original/inpainting/301_original.png,0,1,0
generated/inpainting/301_inpainting.png,0,0,1
original/inpainting/302_original.png,0,1,0
generated/inpainting/302_inpainting.png,0,0,1
original/inpainting/313_original.png,0,1,0
generated/inpainting/313_inpainting.png,0,0,1
original/inpainting/316_original.png,0,1,0
generated/inpainting/316_inpainting.png,0,0,1
original/inpainting/320_original.png,0,1,0
generated/inpainting/320_inpainting.png,0,0,1
original/inpainting/323_original.png,0,1,0
generated/inpainting/323_inpainting.png,0,0,1
original/inpainting/327_original.png,0,1,0
generated/inpainting/327_inpainting.png,0,0,1
original/inpainting/335_original.png,0,1,0
generated/inpainting/335_inpainting.png,0,0,1
original/inpainting/339_original.png,0,1,0
generated/inpainting/339_inpainting.png,0,0,1
original/inpainting/346_original.png,0,1,0
generated/inpainting/346_inpainting.png,0,0,1
original/inpainting/349_original.png,0,1,0
generated/inpainting/349_inpainting.png,0,0,1
original/inpainting/360_original.png,0,1,0
generated/inpainting/360_inpainting.png,0,0,1
original/inpainting/363_original.png,0,1,0
generated/inpainting/363_inpainting.png,0,0,1
original/inpainting/367_original.png,0,1,0
generated/inpainting/367_inpainting.png,0,0,1
original/inpainting/372_original.png,0,1,0
generated/inpainting/372_inpainting.png,0,0,1
original/inpainting/373_original.png,0,1,0
generated/inpainting/373_inpainting.png,0,0,1
original/inpainting/380_original.png,0,1,0
generated/inpainting/380_inpainting.png,0,0,1
original/inpainting/383_original.png,0,1,0
generated/inpainting/383_inpainting.png,0,0,1
original/inpainting/394_original.png,0,1,0
generated/inpainting/394_inpainting.png,0,0,1
original/inpainting/395_original.png,0,1,0
generated/inpainting/395_inpainting.png,0,0,1
original/inpainting/396_original.png,0,1,0
generated/inpainting/396_inpainting.png,0,0,1
original/inpainting/401_original.png,0,1,0
generated/inpainting/401_inpainting.png,0,0,1
original/inpainting/415_original.png,0,1,0
generated/inpainting/415_inpainting.png,0,0,1
original/inpainting/420_original.png,0,1,0
generated/inpainting/420_inpainting.png,0,0,1
original/inpainting/423_original.png,0,1,0
generated/inpainting/423_inpainting.png,0,0,1
original/inpainting/425_original.png,0,1,0
generated/inpainting/425_inpainting.png,0,0,1
original/inpainting/429_original.png,0,1,0
generated/inpainting/429_inpainting.png,0,0,1
original/inpainting/431_original.png,0,1,0
generated/inpainting/431_inpainting.png,0,0,1
original/inpainting/432_original.png,0,1,0
generated/inpainting/432_inpainting.png,0,0,1
original/inpainting/440_original.png,0,1,0
generated/inpainting/440_inpainting.png,0,0,1
original/inpainting/451_original.png,0,1,0
generated/inpainting/451_inpainting.png,0,0,1
original/inpainting/453_original.png,0,1,0
generated/inpainting/453_inpainting.png,0,0,1
original/inpainting/456_original.png,0,1,0
generated/inpainting/456_inpainting.png,0,0,1
original/inpainting/458_original.png,0,1,0
generated/inpainting/458_inpainting.png,0,0,1
original/inpainting/462_original.png,0,1,0
generated/inpainting/462_inpainting.png,0,0,1
original/inpainting/463_original.png,0,1,0
generated/inpainting/463_inpainting.png,0,0,1
original/inpainting/465_original.png,0,1,0
generated/inpainting/465_inpainting.png,0,0,1
original/inpainting/478_original.png,0,1,0
generated/inpainting/478_inpainting.png,0,0,1
original/inpainting/483_original.png,0,1,0
generated/inpainting/483_inpainting.png,0,0,1
original/inpainting/484_original.png,0,1,0
generated/inpainting/484_inpainting.png,0,0,1
original/inpainting/486_original.png,0,1,0
generated/inpainting/486_inpainting.png,0,0,1
original/inpainting/501_original.png,0,1,0
generated/inpainting/501_inpainting.png,0,0,1
original/inpainting/505_original.png,0,1,0
generated/inpainting/505_inpainting.png,0,0,1
original/inpainting/506_original.png,0,1,0
generated/inpainting/506_inpainting.png,0,0,1
original/inpainting/507_original.png,0,1,0
generated/inpainting/507_inpainting.png,0,0,1
original/inpainting/509_original.png,0,1,0
generated/inpainting/509_inpainting.png,0,0,1
original/inpainting/514_original.png,0,1,0
generated/inpainting/514_inpainting.png,0,0,1
original/inpainting/515_original.png,0,1,0
generated/inpainting/515_inpainting.png,0,0,1
original/inpainting/527_original.png,0,1,0
generated/inpainting/527_inpainting.png,0,0,1
original/inpainting/533_original.png,0,1,0
generated/inpainting/533_inpainting.png,0,0,1
original/inpainting/555_original.png,0,1,0
generated/inpainting/555_inpainting.png,0,0,1
original/inpainting/560_original.png,0,1,0
generated/inpainting/560_inpainting.png,0,0,1
original/inpainting/565_original.png,0,1,0
generated/inpainting/565_inpainting.png,0,0,1
original/inpainting/568_original.png,0,1,0
generated/inpainting/568_inpainting.png,0,0,1
original/inpainting/570_original.png,0,1,0
generated/inpainting/570_inpainting.png,0,0,1
original/inpainting/580_original.png,0,1,0
generated/inpainting/580_inpainting.png,0,0,1
original/inpainting/582_original.png,0,1,0
generated/inpainting/582_inpainting.png,0,0,1
original/inpainting/589_original.png,0,1,0
generated/inpainting/589_inpainting.png,0,0,1
original/inpainting/594_original.png,0,1,0
generated/inpainting/594_inpainting.png,0,0,1
original/inpainting/602_original.png,0,1,0
generated/inpainting/602_inpainting.png,0,0,1
original/inpainting/610_original.png,0,1,0
generated/inpainting/610_inpainting.png,0,0,1
original/inpainting/621_original.png,0,1,0
generated/inpainting/621_inpainting.png,0,0,1
original/inpainting/622_original.png,0,1,0
generated/inpainting/622_inpainting.png,0,0,1
original/inpainting/628_original.png,0,1,0
generated/inpainting/628_inpainting.png,0,0,1
original/inpainting/629_original.png,0,1,0
generated/inpainting/629_inpainting.png,0,0,1
original/inpainting/630_original.png,0,1,0
generated/inpainting/630_inpainting.png,0,0,1
original/inpainting/632_original.png,0,1,0
generated/inpainting/632_inpainting.png,0,0,1
original/inpainting/639_original.png,0,1,0
generated/inpainting/639_inpainting.png,0,0,1
original/inpainting/644_original.png,0,1,0
generated/inpainting/644_inpainting.png,0,0,1
original/inpainting/645_original.png,0,1,0
generated/inpainting/645_inpainting.png,0,0,1
original/inpainting/646_original.png,0,1,0
generated/inpainting/646_inpainting.png,0,0,1
original/inpainting/649_original.png,0,1,0
generated/inpainting/649_inpainting.png,0,0,1
original/inpainting/659_original.png,0,1,0
generated/inpainting/659_inpainting.png,0,0,1
original/inpainting/668_original.png,0,1,0
generated/inpainting/668_inpainting.png,0,0,1
original/inpainting/669_original.png,0,1,0
generated/inpainting/669_inpainting.png,0,0,1
original/inpainting/677_original.png,0,1,0
generated/inpainting/677_inpainting.png,0,0,1
original/inpainting/679_original.png,0,1,0
generated/inpainting/679_inpainting.png,0,0,1
original/inpainting/686_original.png,0,1,0
generated/inpainting/686_inpainting.png,0,0,1
original/inpainting/687_original.png,0,1,0
generated/inpainting/687_inpainting.png,0,0,1
original/inpainting/693_original.png,0,1,0
generated/inpainting/693_inpainting.png,0,0,1
original/inpainting/714_original.png,0,1,0
generated/inpainting/714_inpainting.png,0,0,1
original/inpainting/727_original.png,0,1,0
generated/inpainting/727_inpainting.png,0,0,1
original/inpainting/731_original.png,0,1,0
generated/inpainting/731_inpainting.png,0,0,1
original/inpainting/733_original.png,0,1,0
generated/inpainting/733_inpainting.png,0,0,1
original/inpainting/742_original.png,0,1,0
generated/inpainting/742_inpainting.png,0,0,1
original/inpainting/751_original.png,0,1,0
generated/inpainting/751_inpainting.png,0,0,1
original/inpainting/1000_original.png,0,1,0
generated/inpainting/1000_inpainting.png,0,0,1
original/inpainting/1002_original.png,0,1,0
generated/inpainting/1002_inpainting.png,0,0,1
original/inpainting/1021_original.png,0,1,0
generated/inpainting/1021_inpainting.png,0,0,1
original/inpainting/1023_original.png,0,1,0
generated/inpainting/1023_inpainting.png,0,0,1
original/inpainting/1037_original.png,0,1,0
generated/inpainting/1037_inpainting.png,0,0,1
original/inpainting/1045_original.png,0,1,0
generated/inpainting/1045_inpainting.png,0,0,1
original/inpainting/1046_original.png,0,1,0
generated/inpainting/1046_inpainting.png,0,0,1
original/inpainting/1061_original.png,0,1,0
generated/inpainting/1061_inpainting.png,0,0,1
original/inpainting/1072_original.png,0,1,0
generated/inpainting/1072_inpainting.png,0,0,1
original/inpainting/1075_original.png,0,1,0
generated/inpainting/1075_inpainting.png,0,0,1
original/inpainting/1077_original.png,0,1,0
generated/inpainting/1077_inpainting.png,0,0,1
original/inpainting/1081_original.png,0,1,0
generated/inpainting/1081_inpainting.png,0,0,1
original/inpainting/1087_original.png,0,1,0
generated/inpainting/1087_inpainting.png,0,0,1
original/inpainting/1089_original.png,0,1,0
generated/inpainting/1089_inpainting.png,0,0,1
original/inpainting/1098_original.png,0,1,0
generated/inpainting/1098_inpainting.png,0,0,1
original/inpainting/1102_original.png,0,1,0
generated/inpainting/1102_inpainting.png,0,0,1
original/inpainting/1114_original.png,0,1,0
generated/inpainting/1114_inpainting.png,0,0,1
original/inpainting/1122_original.png,0,1,0
generated/inpainting/1122_inpainting.png,0,0,1
original/inpainting/1123_original.png,0,1,0
generated/inpainting/1123_inpainting.png,0,0,1
original/inpainting/1129_original.png,0,1,0
generated/inpainting/1129_inpainting.png,0,0,1
original/inpainting/1139_original.png,0,1,0
generated/inpainting/1139_inpainting.png,0,0,1
original/inpainting/1143_original.png,0,1,0
generated/inpainting/1143_inpainting.png,0,0,1
original/inpainting/1153_original.png,0,1,0
generated/inpainting/1153_inpainting.png,0,0,1
original/inpainting/1160_original.png,0,1,0
generated/inpainting/1160_inpainting.png,0,0,1
original/inpainting/1162_original.png,0,1,0
generated/inpainting/1162_inpainting.png,0,0,1
original/inpainting/1168_original.png,0,1,0
generated/inpainting/1168_inpainting.png,0,0,1
original/inpainting/1170_original.png,0,1,0
generated/inpainting/1170_inpainting.png,0,0,1
